Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,MCD.N,23.9375,24.0,23.46875,23.875,23.875,2092000.0,32803006482.375,,,,,,,,,,,,,,,,,,
1998-01-05,MCD.N,23.8125,23.8125,23.625,23.78125,23.78125,3128600.0,32716909352.5,,,,,,,,,,,,,,,,,,
1998-01-06,MCD.N,23.65625,23.875,23.5,23.75,23.75,2693000.0,32803006482.375,,,,,,,,,,,,,,,,,,
1998-01-07,MCD.N,23.5625,23.71875,23.4375,23.625,23.625,2505400.0,32544715092.75,,,,,,,,,,,,,,,,,,
1998-01-08,MCD.N,23.5,23.5625,23.21875,23.21875,23.21875,1771000.0,31942035183.625,,,,,,,,,,,,,,,,,,
1998-01-09,MCD.N,23.15625,23.1875,22.625,22.6875,22.6875,2976600.0,31253258144.625,,,,,,,,,,,,,,,,,,
1998-01-12,MCD.N,22.375,23.34375,22.375,23.21875,23.21875,2609800.0,31942035183.625,,,,,,,,,,,,,,,,,,
1998-01-13,MCD.N,23.25,23.53125,23.1875,23.53125,23.53125,2618200.0,32458617962.875,,,,,,,,,,,,,,,,,,
1998-01-14,MCD.N,23.53125,23.59375,23.125,23.53125,23.53125,2499800.0,32415569397.9375,,,,,,,,,,,,,,,,,,
1998-01-15,MCD.N,23.46875,23.6875,23.1875,23.46875,23.46875,2335600.0,32243375138.1875,,,,,,,,,,,,,,,,,,
1998-01-16,MCD.N,23.6875,23.96875,23.5,23.8125,23.8125,3212200.0,32759957917.4375,,,,,,,,,,,,,,,,,,
1998-01-20,MCD.N,23.625,24.0,23.625,24.0,24.0,3102000.0,33061297872.0,,,,,,,,,,,,,,,,,,
1998-01-21,MCD.N,23.5625,23.8125,23.40625,23.6875,23.6875,3116000.0,32630812222.625,,,,,,,,,,,,,,,,,,
1998-01-22,MCD.N,23.5625,23.9375,23.46875,23.9375,23.9375,2781800.0,32975200742.125,1403600000.0,6.57933498614555,1371400000.0,0.29543,0.28947,406300000.0,1997-12-31,2952600000.0,1375300000.0,,,1998-01-22,32827887500.0,,3.6382856398718784,0.274854725269788,,
1998-01-23,MCD.N,23.84375,23.90625,23.25,23.5,23.5,4085800.0,32415569397.9375,1403600000.0,6.57933498614555,1371400000.0,0.29543,0.28947,406300000.0,1997-12-31,2952600000.0,1375300000.0,,,1998-01-22,32227900000.0,,3.5717895576810084,0.2799717015381085,,
