Date,SMB
2015-01-05,0.0006138460878089592
2015-01-06,-0.0027158760612318953
2015-01-07,0.00045336588238236233
2015-01-08,0.0024467924155736377
2015-01-09,0.0018431378738197907
2015-01-12,0.0011272792225574804
2015-01-13,0.0017986279735734071
2015-01-14,0.00045193295575555667
2015-01-15,-0.0043614427991238445
2015-01-16,-0.0015597441042125206
2015-01-20,-0.005145796202980687
2015-01-21,0.000825319872789252
2015-01-22,-6.748164313868932e-07
2015-01-23,0.0007657264719548875
2015-01-26,0.0046871178367662355
2015-01-27,0.0030188720707502534
2015-01-28,0.002306156705476259
2015-01-29,-0.0005469752421993542
2015-01-30,-0.0023156160135305894
2015-02-02,-0.0014014799061842585
2015-02-03,0.001864202070227734
2015-02-04,-0.00133711339940911
2015-02-05,0.001423029597224625
2015-02-06,0.0010975014569615691
2015-02-09,0.002337182447810283
2015-02-10,0.0007582087487660004
2015-02-11,0.0014114442917727145
2015-02-12,0.003728525071456606
2015-02-13,0.00017856543919957417
2015-02-17,-0.0022915473806090357
2015-02-18,0.001083664694381844
2015-02-19,0.000655420823436207
2015-02-20,3.1310826302482705e-05
2015-02-23,-0.00017693398103184777
2015-02-24,0.00017157860405459706
2015-02-25,0.001431340041280597
2015-02-26,-0.0015059076942474587
2015-02-27,-0.002243648402813412
2015-03-02,0.002479976176462258
2015-03-03,-0.000486636741973653
2015-03-04,-0.0025501016664906534
2015-03-05,0.002277699468348859
2015-03-06,0.0032771785047950967
2015-03-09,-0.0029582563385363485
2015-03-10,0.0030882034217575675
2015-03-11,0.0025913872316063805
2015-03-12,-0.0014016039630888443
2015-03-13,0.00018961277118786663
2015-03-16,-0.001076412687512034
2015-03-17,0.002764798677684467
2015-03-18,-0.0009648313146899522
2015-03-19,0.0017440828319203183
2015-03-20,0.0003534385697578687
2015-03-23,-3.7167106355078666e-06
2015-03-24,0.00022460325307307408
2015-03-25,-0.0019836548555352447
2015-03-26,0.0012941591124584447
2015-03-27,0.003683780531589693
2015-03-30,-0.00011236915139432521
2015-03-31,0.0029452055008854236
2015-04-01,-0.001326739389583208
2015-04-02,0.002598871235385787
2015-04-06,-0.00011979443328044397
2015-04-07,-0.0013103104025093213
2015-04-08,-5.146699484147137e-05
2015-04-09,-0.0019454694675228449
2015-04-10,-0.0018586514675379183
2015-04-13,0.00411064429309693
2015-04-14,0.0002665383791354203
2015-04-15,0.0012849721984933195
2015-04-16,-0.0016270970188220124
2015-04-17,-0.001995894515872971
2015-04-20,-0.00010294189479795324
2015-04-21,0.0017020638820832207
2015-04-22,-0.002118266701801426
2015-04-23,0.0015654628286164243
2015-04-24,-0.001261332075883215
2015-04-27,-0.0006225213006213082
2015-04-28,-0.0011184463871522295
2015-04-29,-0.0031903863217197853
2015-04-30,0.0012722424332747874
2015-05-01,-0.0010339862903140148
2015-05-04,0.002188684291378337
2015-05-05,-0.003000275801737385
2015-05-06,-0.00035997505218466697
2015-05-07,0.00046969768636910894
2015-05-08,-0.002111120937803775
2015-05-11,0.003627359543049713
2015-05-12,-0.0006476441490016215
2015-05-13,0.002141772513420844
2015-05-14,0.0009755467437012038
2015-05-15,-0.001555191919251686
2015-05-18,0.0030202878816651536
2015-05-19,-2.983649522300398e-05
2015-05-20,0.003004920812228748
2015-05-21,-0.001477741961479652
2015-05-22,0.0014203331570422557
2015-05-26,-0.0004686792125964262
2015-05-27,-0.0005584282115811447
2015-05-28,-0.0006862923093756688
2015-05-29,-0.0018682910276157597
2015-06-01,-0.0011883679746174506
2015-06-02,0.0010997594121940754
2015-06-03,0.0027467288054174293
2015-06-04,-0.0010950346128200715
2015-06-05,0.002567680687082664
2015-06-08,0.00016061570081065367
2015-06-09,-0.0015860641755776452
2015-06-10,-0.0008776587199270398
2015-06-11,0.0005177907778929161
2015-06-12,0.0015494566260224095
2015-06-15,0.0012435069463373892
2015-06-16,0.000719111964750753
2015-06-17,0.0007320207757824217
2015-06-18,0.00021491618339441847
2015-06-19,0.0024279444299903736
2015-06-22,-0.0010734087812635813
2015-06-23,-0.001470403220528426
2015-06-24,-0.0013821900558190405
2015-06-25,0.0012746103067283836
2015-06-26,-0.000515978621786593
2015-06-29,-0.0008620597007222876
2015-06-30,0.00012086128658509322
2015-07-01,-0.001474584707549552
2015-07-02,-0.0023120156609120757
2015-07-06,-0.0020865215453886718
2015-07-07,-0.003224854129565409
2015-07-08,-0.0014027306213486752
2015-07-09,0.001071309100686796
2015-07-10,-0.0008219193013504923
2015-07-13,-0.0005829477653049326
2015-07-14,0.00011725916601303251
2015-07-15,-0.003609708101652833
2015-07-16,-0.0016203359885188012
2015-07-17,-0.005318095583920941
2015-07-20,-0.0015166244168816987
2015-07-21,0.00015925045774953933
2015-07-22,0.0008638639051218235
2015-07-23,0.0035019397874510756
2015-07-24,-0.00040100721566175765
2015-07-27,-0.0026221895974543157
2015-07-28,0.001224783327646287
2015-07-29,0.0029583123280787866
2015-07-30,0.0030341129037882706
2015-07-31,0.004420886212098379
2015-08-03,-0.001176539843671662
2015-08-04,0.0008778536509438116
2015-08-05,0.0010951084302095347
2015-08-06,-0.0017734895020974492
2015-08-07,0.0028647730182484623
2015-08-10,0.0031535901577827794
2015-08-11,-0.0035103841617843655
2015-08-12,-0.0006132112261092196
2015-08-13,0.0004977388170082479
2015-08-14,0.0016207467200050384
2015-08-17,0.0008630403402262107
2015-08-18,-0.0019694134775508575
2015-08-19,0.0001422848650429031
2015-08-20,-0.0036344468863898846
2015-08-21,0.005594640221437942
2015-08-24,-0.0012734222879633439
2015-08-25,0.002651562253030095
