Date,HML
2015-01-05,-0.007472190943781843
2015-01-06,-0.0006528397823015383
2015-01-07,-0.003582728220563722
2015-01-08,-0.0024770938671414694
2015-01-09,-0.0011275885279037872
2015-01-12,-0.0033821034929894366
2015-01-13,-0.005441796299565166
2015-01-14,-0.0019121583742347506
2015-01-15,0.004461378692175012
2015-01-16,0.0003381669882193978
2015-01-20,-0.00243249892515505
2015-01-21,0.0035392022977844577
2015-01-22,-0.0026824777244206163
2015-01-23,-0.005181534302228263
2015-01-26,-0.00048356833197834345
2015-01-27,0.0032507325180238574
2015-01-28,-0.008752686930360501
2015-01-29,-0.00047345026264831135
2015-01-30,-6.032834011756097e-05
2015-02-02,0.0068922724067395635
2015-02-03,0.0029724181601539796
2015-02-04,-0.001636308482916308
2015-02-05,0.00032000911894785114
2015-02-06,-0.0009843657497212738
2015-02-09,0.001767126898497689
2015-02-10,-0.003383090650263116
2015-02-11,-0.006753094548842691
2015-02-12,-0.0018648078516295442
2015-02-13,-0.004581564196756049
2015-02-17,-0.0010661881132546826
2015-02-18,-0.002532488640326516
2015-02-19,-0.004256123574035833
2015-02-20,-0.0023801893441638116
2015-02-23,-0.001207080059617136
2015-02-24,0.004993133607962053
2015-02-25,-0.007413481432070489
2015-02-26,-0.005705401428576878
2015-02-27,0.0008663714209378019
2015-03-02,-0.00872836563868069
2015-03-03,0.005735689582958135
2015-03-04,0.00019739345531464766
2015-03-05,-0.0026474267802768982
2015-03-06,-0.002070509377462613
2015-03-09,-0.0012560158772170263
2015-03-10,-0.0006934321312795522
2015-03-11,8.157184687826316e-05
2015-03-12,0.001324579680257466
2015-03-13,-0.0033530434222453585
2015-03-16,-0.002767488121855108
2015-03-17,-0.0016645775859919763
2015-03-18,0.005199133969226924
2015-03-19,-0.012495732403254651
2015-03-20,0.005856073381807866
2015-03-23,0.0004929814502028038
2015-03-24,-0.0019637914664419106
2015-03-25,0.007235101938018048
2015-03-26,-0.00014463640833849243
2015-03-27,-0.008045770755674425
2015-03-30,0.004131053713546745
2015-03-31,0.0010631550092594895
2015-04-01,0.004630667798846461
2015-04-02,0.0005127934502326009
2015-04-06,0.0019536750734253
2015-04-07,-0.002205633381483707
2015-04-08,-0.007627415717047917
2015-04-09,-0.0004353751208220212
2015-04-10,0.0003214876214444355
2015-04-13,-0.005588446078279298
2015-04-14,0.0015703691625742699
2015-04-15,0.0052099663598584155
2015-04-16,-0.004092815243476401
2015-04-17,0.00380139828890653
2015-04-20,-0.002728488841545222
2015-04-21,-0.011875905406748053
2015-04-22,0.0011487522577712608
2015-04-23,-0.0012945859812261503
2015-04-24,4.606431854061843e-05
2015-04-27,0.003165045626718754
2015-04-28,0.007214985070221797
2015-04-29,0.0032987310669273517
2015-04-30,0.0014517739060811458
2015-05-01,-0.003662471088876372
2015-05-04,0.0008552110971427069
2015-05-05,0.0002800610790533731
2015-05-06,-0.005865947624524201
2015-05-07,-0.0035316367686160756
2015-05-08,0.00226186521200078
2015-05-11,-0.0029216594234329906
2015-05-12,-0.0021158773415170928
2015-05-13,-0.0014911874391336552
2015-05-14,-0.004457796975550755
2015-05-15,3.677982308700027e-05
2015-05-18,-0.0003555868989805703
2015-05-19,-0.0012373533390592376
2015-05-20,0.0035920955769117658
2015-05-21,-0.00032510667666418316
2015-05-22,-0.0001237077316125993
2015-05-26,-0.0027698202158116525
2015-05-27,-0.0015459782349140482
2015-05-28,0.0020574442357732554
2015-05-29,0.0005620072066690185
2015-06-01,-0.003104010512940422
2015-06-02,0.0013447527428964413
2015-06-03,-0.0048857401476029814
2015-06-04,-0.0003824786826402034
2015-06-05,-0.00139529523314864
2015-06-08,-0.0008152179872585874
2015-06-09,-0.0012276512065932236
2015-06-10,-0.0002486442263225346
2015-06-11,0.0007099961335284388
2015-06-12,-0.0013842073970967497
2015-06-15,-0.0024666760269786915
2015-06-16,-0.0015346444931511743
2015-06-17,-0.002748587769426784
2015-06-18,-0.0034471037114581233
2015-06-19,-0.0038117747444593106
2015-06-22,-0.0017897784244129376
2015-06-23,-0.00054173020449259
2015-06-24,0.0014967940961813572
2015-06-25,-0.008220241121921603
2015-06-26,0.0014843158214537392
2015-06-29,0.00208909361661622
2015-06-30,-0.0034317265663027278
2015-07-01,-0.0014831213522084582
2015-07-02,0.0013131020081731952
2015-07-06,-0.0038044672234055967
2015-07-07,0.0016616413075222526
2015-07-08,-0.001810651453006332
2015-07-09,-0.003098911896742674
2015-07-10,-0.004755113497638453
2015-07-13,-0.002846343642379368
2015-07-14,0.00032548311913767856
2015-07-15,0.000587483564224204
2015-07-16,-0.001363003961103882
2015-07-17,-0.004690678684614173
2015-07-20,-0.009807287484282693
2015-07-21,0.0017320917517393113
2015-07-22,-0.0007659138978780597
2015-07-23,-0.005000401278661265
2015-07-24,-0.001549232850546073
2015-07-27,0.005536221312275774
2015-07-28,-0.0022249318115313884
2015-07-29,0.0013789789088593449
2015-07-30,-0.0023889646965875888
2015-07-31,-0.005233897912560814
2015-08-03,-0.003108982193178793
2015-08-04,-0.0055498366561346334
2015-08-05,-0.009541212545418669
2015-08-06,0.01211017607081907
2015-08-07,-0.0019759378236377423
2015-08-10,0.007106424411979733
2015-08-11,-0.0027371617140177756
2015-08-12,0.0048252715835964185
2015-08-13,-0.0010035708267729984
2015-08-14,0.0010955090463928598
2015-08-17,-0.002949269881156788
2015-08-18,-0.00033918418632076976
2015-08-19,-0.003473750562677092
2015-08-20,0.006470683161809876
2015-08-21,0.00017814141758509122
2015-08-24,-0.007955436174134432
2015-08-25,-0.012748370748684557
