,0
A,1.0055470289324402
AAPL,1.1993843413574177
ABBV,0.598739162981468
ABT,0.7976636086552753
ADBE,1.2960732645858566
ADI,1.288501987899815
ADM,0.7790498419272642
ADP,0.9638458461749848
ADSK,1.396993678340654
AEE,0.5726041355775382
AEP,0.5114947201423503
AES,1.061591746659691
AFL,0.8754769512152295
AIG,1.143375363071269
AIZ,0.7795806238029017
AJG,0.8024110994640052
AKAM,0.791612476446006
ALB,1.3820839296082716
ALGN,1.5278704488303494
ALL,0.748322080819338
AMAT,1.6473343912105964
AMD,1.6960467351006034
AME,1.0203343683933572
AMGN,0.6937296998190786
AMP,1.4573918358410847
AMT,0.7699018616323356
AMZN,1.1880420488359547
ANET,1.301733363091478
ANSS,1.265457464965666
AOS,0.8912965059197515
APA,1.4449975332645026
APD,0.8750104441938864
APH,1.0946747139706117
APO,1.3518051328742475
ARE,0.9115255287516456
AWK,0.6600359564779461
BALL,0.8273100318667994
BDX,0.579818331801189
BK,1.0004758782728036
BKNG,1.1360878122421765
BLDR,1.5521907966931416
BMY,0.5152075393518292
BR,0.862858673748633
BRO,0.8464219074113882
BSX,0.8897351578793284
BWA,1.095482542896842
BX,1.4376175753802012
BXP,1.0303350282896315
C,1.2664271612682558
CAG,0.3863582836279855
CAH,0.7150448530493456
CBRE,1.233288400126613
CCI,0.7404049041989736
CDNS,1.2669124292270393
CDW,1.1074191953108816
CE,1.2112125140744097
CF,0.9473119007183749
CFG,1.3205528110638376
CHD,0.3981734702099162
CHRW,0.6328894362855233
CHTR,0.8238993896244318
CI,0.8314060715478219
CINF,0.9396860698324916
CL,0.4944510054291384
CLX,0.3260804086116342
CMCSA,0.8365826208223531
CME,0.6759068040753929
CMG,0.922451675774268
CMI,0.9115736524994877
CMS,0.5018666169879692
CNC,0.840491910821303
CNP,0.7967805732554977
COF,1.3647703848381698
COO,0.8832438560540824
COP,1.0564779587030624
COR,0.6487186557488991
COST,0.7471643679356199
CPB,0.2641782246605932
CPRT,1.0267198074164323
CRL,1.1654330092158518
CRM,1.257169615273901
CSCO,0.9418602847236459
CSGP,1.032877630658271
CSX,1.0073856408207869
CTAS,1.0440872032786157
CTRA,0.7465340203393672
CTSH,1.0476373513367099
CVS,0.685242677522125
CVX,0.9318254086513964
CZR,1.9544627340204792
D,0.567424751043302
DAL,1.2613033965641192
DE,0.9647672873382453
DECK,1.1719837456869926
DELL,1.1117004690263186
DFS,1.4332861298853399
DG,0.5597877366460888
DGX,0.6074107725773876
DHI,1.1432979261519345
DHR,0.8626252742822892
DIS,1.0042714255757221
DLR,0.8231172740275787
DLTR,0.7438738125144511
DOC,0.8939313741244819
DOV,1.0573376474212233
DPZ,0.60738494096252
DRI,1.09446409961263
DTE,0.6423812614569684
DUK,0.5354426053702109
DVA,0.6926034063635287
DVN,1.3589502853751148
DXCM,1.0426896177686968
EA,0.6757497642499986
EBAY,0.8841172066913068
ECL,1.004530046842199
ED,0.4241384972452793
EFX,1.009375104769329
ERIE,0.6283302432870133
EVRG,0.6352388092328426
EW,0.9858486161288489
EXC,0.7335489827253265
EXPD,0.8104077013258871
EXPE,1.2680573793848988
EXR,0.7006422207204593
F,1.2000904611718313
FANG,1.1673371837784778
FAST,0.9266581128766689
FCX,1.5836709469133723
FDS,0.8957356302847856
FDX,1.0506934097795744
FE,0.6439173530111489
FFIV,0.9653622293308401
FI,0.9937863718048734
FICO,1.274161710277338
FIS,1.0340898277649901
FITB,1.3157599717240158
FMC,1.0022418798320807
FSLR,1.0917325723620264
FTNT,1.2116427758708477
FTV,0.9670690877009636
GD,0.7548244061404227
GDDY,1.0661760311519473
GE,1.1020151923506987
GEN,0.7071831613245145
GILD,0.5506513608633847
GIS,0.3074715115456762
GL,0.9313432509492878
GLW,1.138882872431351
GM,1.2263012540943252
GNRC,1.4292182725527995
GOOG,1.1685071996051601
GPC,0.9025908882817666
GPN,1.2464847017768466
GS,1.1352997284715869
GWW,0.903147616966337
HAL,1.3056237125114627
HAS,0.9419983433664739
HBAN,1.1419936497908831
HCA,0.9854239392227055
HD,0.9835725805138902
HES,1.1735401065615911
HIG,0.9080060713549212
HII,0.7226420415947983
HLT,1.0043748970585913
HOLX,0.7582252659358331
HON,0.9309990244439468
HPE,1.1098323327648325
HPQ,1.1633287347279249
HRL,0.3555298833084044
HSIC,0.7585906693783472
HST,1.1253634519346223
HSY,0.4960239836166118
HUBB,1.0311195234217412
HUM,0.7077015449543651
HWM,1.2694491853718741
IBM,0.7975720720072078
ICE,0.8002091819432714
IDXX,1.070447908854743
IEX,0.87954295404049
IFF,0.9074881969869859
INCY,0.7180887722877751
INTC,1.2862225940748224
INTU,1.3556100933367536
IP,0.959529357448579
IPG,1.08194804199216
IQV,1.1446240869865685
IRM,0.8535776136772264
ISRG,1.2117045277462704
IT,1.042377261430282
ITW,0.9487217634060054
J,0.9612893951616011
JBHT,0.9062981133976247
JBL,1.298828240814706
JKHY,0.7234003419325903
JNJ,0.490341333747378
JNPR,0.8150504493143345
JPM,1.057100209275962
K,0.296291358643067
KDP,0.47798717083496683
KEY,1.3814091890283218
KHC,0.5874253143760702
KIM,1.0327828047685799
KKR,1.410011533512769
KLAC,1.5941106726140322
KMB,0.4334056880734501
KMI,0.8738427063892804
KMX,1.2197040973712259
KO,0.5674708342248563
KR,0.32538924376975065
L,0.9702963495650954
LDOS,0.7639084416510182
LHX,0.6672204647325415
LII,0.9289033317431421
LKQ,1.116975229591505
LLY,0.6721142215991452
LMT,0.5647284652190296
LNT,0.5478967286335427
LOW,1.0550657719348644
