,mkt,size,value,beta,mom,res_vol
2016-01-06,-0.013427472330301966,0.002149773558796086,-0.0008607776512136638,-0.008225286383227214,0.0076506852435338285,0.0012680295121973253
2016-01-07,-0.023360846129988296,0.0005591130114739705,-0.0002688480808092002,-0.009586329367868147,0.0018392304264312305,-8.209193878874104e-05
2016-01-08,-0.010848798820552466,0.0005695696476885688,-0.0009121893061569639,-0.0031177476728640402,-0.0018887521024472625,-0.0008287961723313899
2016-01-11,0.0007453773163866807,0.0016900367260698343,-0.0005311349838569895,-0.0013623361386883896,0.00754083549723956,-0.007501783899514881
2016-01-12,0.0065764677851176175,9.588652690352948e-05,-0.000274590226363177,0.003006591747516484,0.005055594720602437,-0.003120965590482858
2016-01-13,-0.024905852075620856,0.0009958781287190467,0.0001263737987934508,-0.009223355391763418,-0.0021574178193108596,-0.005320717005126561
2016-01-14,0.01688149198324545,0.0033371581607313785,-0.001312231317538928,0.005232700953854649,-0.007322457337685982,0.007362243973909405
2016-01-15,-0.019855511247187055,-0.0018658167589623237,-0.002044147350098348,-0.008180405990977265,0.0007140332384764274,0.0019214519677539109
2016-01-19,0.0013619278716667312,0.0008806280985144596,-0.0002772078908237194,-0.006579732494580837,0.00636341095528896,-0.0007348227802249146
2016-01-20,-0.012584628842794994,-0.0009363590024612263,-0.0035574652659122,0.0017125179468465237,0.002641076787631707,0.0021872864376133094
2016-01-21,0.005897848855592528,0.0018990819321213761,-0.0017926891145886494,-0.0012570553830563542,-0.009038506651750598,0.00370729922218093
2016-01-22,0.020097400625549815,2.3442511108048934e-05,-0.00048196323243026164,0.006470128664228708,-0.00030555789383083414,0.0003950050078564473
2016-01-25,-0.015756679527994123,0.001874365683299178,-0.0014613683327684849,-0.007228495293447367,0.0048138203345364184,-0.00026118593126924525
2016-01-26,0.015066740277605118,-0.0010469875923901266,0.0011279725479552151,0.003097815174663069,-0.005468371815250141,-0.00010731413228230768
2016-01-27,-0.00851740962694612,-0.0022856340327453953,0.0026234122901397272,-0.003371092764767051,-0.0019810012463970465,-0.005016108887896062
2016-01-28,0.00380785132326402,0.002246500975651878,0.0007231215640587116,0.00027965797532836885,0.0028870892087879,0.0020617119483973636
2016-01-29,0.025563821875065562,-0.002502641459046883,-0.0008578760387516526,0.008085523800717396,-0.005062309925404195,-0.007524833045722788
2016-02-01,0.0002488802943269805,-0.0015902991356625124,0.0011990627857119828,-0.005833865135319737,0.0028517292129853367,0.0025257076586563012
2016-02-02,-0.018531970081480862,0.0011907889898679991,-0.0016403770241904519,-0.009592400866101632,0.0024105985643303515,-0.0008063931865501413
2016-02-03,0.005276525006631174,-0.00015712244474043208,-0.0046137720048558435,-0.0007120168010915132,-0.013314323821045162,0.0019493042938575089
2016-02-04,0.0021609045377077134,-0.002682455931331061,0.0009800840320080466,0.005927140270505017,-0.00627482508180331,-0.004047580776601849
2016-02-05,-0.01797551133693854,0.0014209507178975119,0.0019107871153924236,-0.010408439221204609,-0.007793368397825896,-0.00853042930507967
2016-02-08,-0.015303965177437623,0.006208153648735486,-0.002474207420828113,-0.009595963293035076,0.0003632783609332246,-0.005117289268087863
2016-02-09,0.0015528904263598525,-0.0032688977942815184,0.0005557913762863644,0.0003859443453966678,0.006454200266444854,-0.0008514834839550992
2016-02-10,0.000617920593780585,-0.001639964111704531,-0.0010836592136847698,0.0020497743542181057,0.004499920400184904,0.004328740643634952
2016-02-11,-0.013174192896236744,0.003648474719945394,-0.005771849358918532,-0.0041295509835839045,0.0009548556684876835,0.006147270447384176
2016-02-12,0.02090000578582489,-0.0022901741664856125,0.0017384516313221352,0.010688727395603281,-0.0026261889619721597,-0.0033813661164104076
2016-02-16,0.01782009034067715,-0.002618490475455085,-0.0012077010393048392,0.006923832045294854,-0.002241372458017919,0.0015187596038556113
2016-02-17,0.016153752932315954,0.0004295164208519077,-0.0012446564832580423,0.005224377571782714,-0.0008349521820892759,0.006703043935177213
2016-02-18,-0.0029715333328238485,-0.0012371408716017468,-0.0002885400767396248,-0.006745920338521247,-0.0038309788683739236,-0.00023502945221319548
2016-02-19,-2.847613055070885e-05,-0.0005497054478448894,-0.0014005276676834141,0.002715189665851271,0.005469249095681685,-0.0016194210294141103
