Date,BAB
2016-01-06,-0.020287340371984836
2016-01-07,-0.02017948212700412
2016-01-08,-0.009023236241630605
2016-01-11,-0.00926042852050732
2016-01-12,0.001620238125370906
2016-01-13,-0.023081407696596837
2016-01-14,0.014486003946242977
2016-01-15,-0.01601130566032742
2016-01-19,-0.01685384030702019
2016-01-20,0.0034246553488850168
2016-01-21,0.008630553489300669
2016-01-22,0.008612364706483178
2016-01-25,-0.018840037626836295
2016-01-26,0.007930565072980372
2016-01-27,-0.00901467633002967
2016-01-28,-0.002393484511285103
2016-01-29,0.0162319436277396
2016-02-01,-0.009525453349745116
2016-02-02,-0.028968330855168162
2016-02-03,0.005937304143908397
2016-02-04,0.016095398642691525
2016-02-05,-0.0282821103648525
2016-02-08,-0.030020283519810655
2016-02-09,-0.0032626002850988543
2016-02-10,0.0052706304815223195
2016-02-11,-0.00740294080129205
2016-02-12,0.01934319288268886
2016-02-16,0.019520560280578268
2016-02-17,0.021372235071818
2016-02-18,-0.014438738123210938
2016-02-19,5.9606338091303026e-05
2016-02-22,0.018161896717543376
2016-02-23,-0.021319498273118517
2016-02-24,0.005721404381518101
2016-02-25,-0.003534329656617395
2016-02-26,0.018974354977965
2016-02-29,-0.0017752643231115656
2016-03-01,0.0204236424394603
2016-03-02,0.009294473324731892
2016-03-03,0.0060501488073235075
2016-03-04,0.004544953253138824
2016-03-07,0.007309821966231584
2016-03-08,-0.028133357780989174
2016-03-09,0.0020417880734901073
2016-03-10,-0.0025768152608998127
2016-03-11,0.019461403820515966
2016-03-14,-0.001524270863587203
2016-03-15,-0.011012288491228659
2016-03-16,0.00967330145027306
2016-03-17,0.0028532671140208228
2016-03-18,0.011645445306174977
2016-03-21,0.0013022618901682944
2016-03-22,0.0033591285901416502
2016-03-23,-0.018447636488669927
2016-03-24,0.0006268105972679283
2016-03-28,-0.003821541436652668
2016-03-29,-0.0006374355314083518
2016-03-30,0.0031842458152241595
2016-03-31,0.001835189516921917
2016-04-01,-0.0018087534337846043
2016-04-04,-0.007010832775297841
2016-04-05,-0.002731321475976836
2016-04-06,0.01118896540871496
2016-04-07,-0.009174629204015029
2016-04-08,0.0023899657106373176
2016-04-11,0.0022231680561269444
2016-04-12,0.004206380817485991
2016-04-13,0.024232498850805258
2016-04-14,0.002854462436012505
2016-04-15,-0.008376166894862005
2016-04-18,0.003728025936421117
2016-04-19,0.004555440701283961
2016-04-20,0.01899386268677604
2016-04-21,0.013195192233209516
2016-04-22,0.0037930300947931015
2016-04-25,-0.013587773227267105
2016-04-26,0.008866006127365367
2016-04-27,0.00218087373423107
2016-04-28,-0.012326690067442279
2016-04-29,-0.010315702758254816
2016-05-02,-0.0006785036953977155
2016-05-03,-0.01617550137257822
2016-05-04,-0.017516422770155117
2016-05-05,-5.896888822438126e-05
2016-05-06,0.0009650657690377274
2016-05-09,-0.01237921463177834
2016-05-10,0.009463604721352537
2016-05-11,0.0017085200962553091
2016-05-12,-0.011228106719453127
2016-05-13,-0.0006660754650720177
2016-05-16,0.0070057224749367035
2016-05-17,0.011071782865341315
2016-05-18,0.01533119133392526
2016-05-19,-0.00776020836691356
2016-05-20,0.011009049156560188
2016-05-23,0.004669718919297447
2016-05-24,0.007670367066109398
2016-05-25,0.011663132459280452
2016-05-26,-0.007752221141414056
2016-05-27,0.003239615207218262
2016-05-31,-0.0009183969838171017
2016-06-01,0.000799936237461372
2016-06-02,0.0035320092631855008
2016-06-03,-0.014254695574574986
2016-06-06,0.013759180780000976
2016-06-07,0.002753935505154521
2016-06-08,-0.004038374048500345
2016-06-09,-0.013829125537281661
2016-06-10,-0.017563897231101508
2016-06-13,-0.003401482625467027
2016-06-14,-0.009499087324468237
2016-06-15,0.00554851210802663
2016-06-16,-0.006595643928988902
2016-06-17,0.006188148381622549
2016-06-20,0.008561241100269568
2016-06-21,-0.0010965026882497361
2016-06-22,-0.004182012488975046
2016-06-23,0.017561094439642537
2016-06-24,-0.04950786030934286
2016-06-27,-0.04396776213266494
2016-06-28,0.017050704837621847
2016-06-29,0.01339297821076207
2016-06-30,-0.0025080800430097826
2016-07-01,0.0015929864768051045
2016-07-05,-0.026689024649425075
2016-07-06,0.0062735854858922985
2016-07-07,0.011853598966262842
2016-07-08,0.013600367485529534
2016-07-11,0.008491486556559553
2016-07-12,0.024282210763732926
2016-07-13,-0.006626913171791756
2016-07-14,0.010953645560331736
2016-07-15,0.0020055563980536932
2016-07-18,0.0061065673872846525
2016-07-19,-0.007585338349189059
2016-07-20,0.008379217568010976
2016-07-21,-0.006140614507833067
2016-07-22,-0.0009876696670410032
2016-07-25,0.002083941717505073
2016-07-26,0.013905406561355785
2016-07-27,0.004309974422137321
2016-07-28,-0.004188386432291018
2016-07-29,-0.0036279056959098457
2016-08-01,-0.007856887316170912
2016-08-02,-0.004936136702869801
2016-08-03,0.017531795647103787
2016-08-04,-0.0029606825565320133
2016-08-05,0.016596264150649846
2016-08-08,0.004259736980799398
2016-08-09,-0.0012283574859588958
2016-08-10,-0.0077704092975127165
2016-08-11,0.008534195753674523
2016-08-12,-0.0026228768252060395
2016-08-15,0.015653017406243752
2016-08-16,0.004986901123332208
2016-08-17,-0.0055326324452004815
2016-08-18,0.004081238238121369
2016-08-19,0.005184918392836056
2016-08-22,-0.003178952943463455
2016-08-23,0.01071166662724532
2016-08-24,-0.007257949516119159
2016-08-25,0.005562329121094653
2016-08-26,0.00901130427766975
2016-08-29,-0.0012456866019038915
2016-08-30,0.009362317761078758
2016-08-31,-0.005754528771185179
2016-09-01,0.00013093127739705865
