Date,zero_beta_portfolio
2015-02-24,0.005135116437482034
2015-02-25,0.008856006420536865
2015-02-26,0.005288345932824023
2015-02-27,-0.00882582011214932
2015-03-02,0.007996278700087112
2015-03-03,0.00129794594835499
2015-03-04,-0.0022188785290886684
2015-03-05,-0.003882346985156229
2015-03-06,-0.007339575086228596
2015-03-09,0.0008647221467745136
2015-03-10,-0.005369174577721336
2015-03-11,0.0035269416714666974
2015-03-12,0.007473195613925617
2015-03-13,0.007617530256636247
2015-03-16,0.0026700709717956167
2015-03-17,-0.01357005317209333
2015-03-18,0.00222354791920862
2015-03-19,0.0007135155759102207
2015-03-20,0.0024304388988861778
2015-03-23,0.004843001444399093
2015-03-24,-0.0028921964346145432
2015-03-25,-1.7181362480160556e-05
2015-03-26,0.0020462283505866905
2015-03-27,0.0020016750527998613
2015-03-30,0.01049158236607848
2015-03-31,0.0009930804228717833
2015-04-01,-0.006033799483771444
2015-04-02,-0.006628136802650771
2015-04-06,-0.004537924050436823
2015-04-07,-0.003149461228830185
2015-04-08,-0.000757471796613318
2015-04-09,0.008644215434400452
2015-04-10,0.010058487578772986
2015-04-13,-0.004113452681141828
2015-04-14,-0.0035674952820985767
2015-04-15,-0.007781514094531746
2015-04-16,-0.0025685340094476917
2015-04-17,0.0008307869394024548
2015-04-20,0.00306131813748038
2015-04-21,0.006991878698286294
2015-04-22,-0.0073792321746104375
2015-04-23,0.004099942629563928
2015-04-24,0.007290390308102097
2015-04-27,0.0036448636775403714
2015-04-28,-0.005715833309890658
2015-04-29,-0.005457334110438021
2015-04-30,0.008875705830057073
2015-05-01,0.004375364011414351
2015-05-04,0.004499185178347415
2015-05-05,-0.0011584842627950706
2015-05-06,0.005811860601499453
2015-05-07,0.003115459677713678
2015-05-08,0.006379488323029794
2015-05-11,-0.0014212046146874749
2015-05-12,0.005403702255069869
2015-05-13,-0.006927666923837531
2015-05-14,0.00021868239781776974
2015-05-15,-0.0007227729127116217
2015-05-18,-0.0004985327349407701
2015-05-19,0.000207162758059639
2015-05-20,0.0021509925789899606
2015-05-21,-0.008874470323101792
2015-05-22,0.005917524613164079
2015-05-26,0.005329059275813313
2015-05-27,0.0014316107758578
2015-05-28,-0.002153166034935465
2015-05-29,0.004104586661071042
2015-06-01,0.004379106376336085
2015-06-02,-0.00445495746473698
2015-06-03,0.0011101019102532149
2015-06-04,0.0024690346485491707
2015-06-05,-0.00940825595932606
2015-06-08,0.00028228260257591366
2015-06-09,-0.001483921387249569
2015-06-10,-0.008478739708896338
2015-06-11,-0.00011562560659302676
2015-06-12,0.00021925131811879168
2015-06-15,-0.002904951668431308
2015-06-16,-0.008303191156922053
2015-06-17,0.004511508911592374
2015-06-18,0.004001916886650327
2015-06-19,-0.003291405995262155
2015-06-22,-0.008050756281389257
2015-06-23,-0.0010992945567840932
2015-06-24,-0.009033845103394764
2015-06-25,0.0014195907386138355
2015-06-26,0.0007049383043933006
2015-06-29,0.0014970934924312131
2015-06-30,0.002941305354880763
2015-07-01,0.006943256187236888
2015-07-02,0.00565548995359137
2015-07-06,0.009696398330685349
2015-07-07,0.009621042766533777
2015-07-08,0.0014153311473078338
2015-07-09,0.003194593475773834
2015-07-10,0.004377733677141257
2015-07-13,-0.004866276993571725
2015-07-14,-0.003128552270229379
2015-07-15,0.009143719848307095
2015-07-16,-0.00029985952789264407
2015-07-17,0.007116648190985897
2015-07-20,0.003866387749592145
2015-07-21,0.0014919396307010015
2015-07-22,0.004362721311034891
2015-07-23,-0.0031053607033291897
2015-07-24,0.0059696297781519254
2015-07-27,-0.0018032529771376449
2015-07-28,0.0007939088665661602
2015-07-29,0.003219695799880331
2015-07-30,-0.008297147888335795
2015-07-31,0.00021075280072649575
2015-08-03,0.005437436900459299
2015-08-04,0.0025216252975986814
2015-08-05,0.0016273764800192403
2015-08-06,-0.010798801435565815
2015-08-07,0.00150744672456737
2015-08-10,-0.0043091245708849245
2015-08-11,0.0016292836422540295
2015-08-12,-0.0013292145161865239
2015-08-13,-0.0014316925968752684
2015-08-14,0.0012738568718241782
2015-08-17,-0.0002519270084774781
2015-08-18,-0.002803790425393338
2015-08-19,0.001627249073520373
2015-08-20,0.0021061674544298192
2015-08-21,0.0005715436676553669
2015-08-24,-0.012681304552882734
2015-08-25,0.004407329362408722
2015-08-26,0.003044186754860946
2015-08-27,-0.009866031890990227
2015-08-28,-0.0032358470411405133
2015-08-31,-0.006821611818519359
2015-09-01,0.0013987060783272442
2015-09-02,0.003595517661134861
2015-09-03,0.0010931114141835838
2015-09-04,-0.0072041271758950896
2015-09-08,0.008041256841297889
2015-09-09,-0.00994621894400691
2015-09-10,-0.0025899288679821523
2015-09-11,0.0024928648146545712
2015-09-14,0.005298529627793047
2015-09-15,-0.0020103820385232317
2015-09-16,0.0035486677971099355
2015-09-17,-0.0020859758417444475
2015-09-18,-0.0020950555116591133
2015-09-21,0.0051230676243628655
2015-09-22,-0.0005428079718798523
2015-09-23,-0.001149418359626203
2015-09-24,0.008044683081962222
2015-09-25,0.002653967034498117
2015-09-28,-0.0015111946011374838
2015-09-29,-0.0011264979731209755
2015-09-30,0.004480969110989849
2015-10-01,-0.004255808011712996
2015-10-02,0.006747382799780479
2015-10-05,0.005804314211079662
2015-10-06,-0.004087757732764479
2015-10-07,-0.005328441970613297
2015-10-08,-0.007237973395220465
2015-10-09,-0.003819400201037459
2015-10-13,0.0038664376988900555
2015-10-14,-0.004407170060195822
2015-10-15,0.0011143247292262086
2015-10-16,-0.008324774840269245
2015-10-19,-0.0007124160160382816
2015-10-20,-0.000893165462475182
2015-10-21,-0.006698839928166864
2015-10-22,0.010137351937534015
2015-10-23,0.001674415731712629
2015-10-26,0.0008760695476798397
2015-10-27,-6.083103605947575e-05
2015-10-28,-0.008928837504263194
2015-10-29,0.00542381814458123
2015-10-30,0.002175129934944212
2015-11-02,-0.0044107706170421045
2015-11-03,-0.009271378784549759
2015-11-04,-0.003176848106090109
2015-11-05,-0.0007941823457780301
2015-11-06,-0.004869597696796
2015-11-09,-0.0017391397466934614
2015-11-10,0.005510408140077582
2015-11-12,-0.003704492580933897
2015-11-13,-0.006655847384074573
2015-11-16,-0.002658079880044827
2015-11-17,0.003358245692592401
2015-11-18,-0.004958504879704537
2015-11-19,0.007203518089363424
2015-11-20,-0.017296390447490335
2015-11-23,0.0005051133282060253
2015-11-24,-0.0013345051812809672
2015-11-25,0.004754019474723209
2015-11-27,-0.002528887204226566
2015-11-30,0.0011451941550459199
2015-12-01,0.0025239230956620624
2015-12-02,0.0052619369611248135
2015-12-03,-0.00045918728416470333
2015-12-04,0.0008781766764409996
2015-12-07,0.010769662233477362
2015-12-08,0.001182149787925988
2015-12-09,-0.0065794090507426935
2015-12-10,0.0001986350040655256
2015-12-11,0.010712723482601346
2015-12-14,0.004964120630148644
2015-12-15,0.0015203030184026396
2015-12-16,0.005690701733997859
2015-12-17,-0.010171299035296897
2015-12-18,-0.00489831106606596
2015-12-21,-0.018730685453526304
2015-12-22,-0.006048491434146219
2015-12-23,-0.00016626469052265035
2015-12-24,-0.0007821607137548751
2015-12-28,-0.0029957465461579475
2015-12-29,-0.003723665851859278
