,0
A,1.0030144398591831
AAPL,1.2005461388442638
ABBV,0.5935887110982964
ABT,0.7961685156804508
ADBE,1.296993500578877
ADI,1.2892325399246705
ADM,0.7762823615754157
ADP,0.9639769528991399
ADSK,1.3979790808333763
AEE,0.5719293157707087
AEP,0.5115228464304064
AES,1.062292174057127
AFL,0.8747018191140709
AIG,1.1433364061756317
AIZ,0.7788599425229292
AJG,0.8027713356166739
AKAM,0.7889957571674389
ALB,1.386185602503046
ALGN,1.5307705153543496
ALL,0.7467025283257742
AMAT,1.649281306484009
AMD,1.6993022318658828
AME,1.0191042645638815
AMGN,0.691220529601039
AMP,1.456488912561472
AMT,0.7693697175847557
AMZN,1.1916675977826765
ANET,1.3072266773048868
ANSS,1.2663823326586114
AOS,0.8931494964168883
APA,1.443494832634168
APD,0.8732756405733639
APH,1.09522277445988
APO,1.353510428436242
ARE,0.9139980992038247
AWK,0.6609528398752185
BALL,0.8255865414992768
BDX,0.5779285854718702
BK,0.9980613276908008
BKNG,1.1356898556597115
BLDR,1.5526434072147746
BMY,0.5137541801154912
BR,0.8623831995435808
BRO,0.8463340404312643
BSX,0.8901334338621252
BWA,1.0929505329496105
BX,1.4425371745626712
BXP,1.033114441388103
C,1.264655660941788
CAG,0.3844314429838961
CAH,0.7135825752234985
CBRE,1.2337021575636267
CCI,0.7406795570170788
CDNS,1.2696179260248577
CDW,1.1082905130621783
CE,1.211505396739154
CF,0.9477540919939343
CFG,1.321301785744821
CHD,0.39603131674563163
CHRW,0.6290167763961615
CHTR,0.821280179603558
CI,0.8292542966143186
CINF,0.9392259372437902
CL,0.4919050994552993
CLX,0.3253471247617342
CMCSA,0.836029967256356
CME,0.6747958829914024
CMG,0.9218233545259303
CMI,0.9108700222602355
CMS,0.5015962972782112
CNC,0.8404639821856864
CNP,0.7957861348432502
COF,1.3666190174831323
COO,0.8839791304001493
COP,1.0525060028672688
COR,0.6485220751143559
COST,0.7477135005304925
CPB,0.26142802701816004
CPRT,1.0282073870510282
CRL,1.1685977942079213
CRM,1.2559352767645366
CSCO,0.9395281531509965
CSGP,1.0325460122616978
CSX,1.0060243266428528
CTAS,1.0449894873385612
CTRA,0.7447625415050236
CTSH,1.0474950714400713
CVS,0.6844641323933773
CVX,0.9289704191237003
CZR,1.9651462337393217
D,0.5665988714016166
DAL,1.2617462262788963
DE,0.9648059860443308
DECK,1.1673124148310299
