,WML
2016-01-04,-0.008588335646141993
2016-01-05,0.009531653478907585
2016-01-06,0.021541933634441637
2016-01-07,0.011938264953316555
2016-01-08,-0.0004909522455656713
2016-01-11,0.013195923859317223
2016-01-12,0.009695432005344251
2016-01-13,0.0027686720372163756
2016-01-14,-0.010123417420054757
2016-01-15,0.006611145815335971
2016-01-19,0.016905692528340066
2016-01-20,0.0023347835682030194
2016-01-21,-0.01668147199134426
2016-01-22,-0.0011714018780424641
2016-01-25,0.016734744436487238
2016-01-26,-0.013923618274278099
2016-01-27,-0.0029535653133725137
2016-01-28,-0.0033340831747949344
2016-01-29,-0.007338136700950154
2016-02-01,0.00654703072560407
2016-02-02,0.02465074918413693
2016-02-03,-0.010278986224935553
2016-02-04,-0.01867698656549065
2016-02-05,0.008771891491617664
2016-02-08,0.02140973247119054
2016-02-09,0.011363251691133357
2016-02-10,0.0013270919323444996
2016-02-11,0.01016664476614837
2016-02-12,-0.018071146520109785
2016-02-16,-0.01865908268742803
2016-02-17,-0.013985112425686935
2016-02-18,0.0024398128152406306
2016-02-19,0.006951768453681545
2016-02-22,-0.016762037669620762
2016-02-23,0.01733378889684798
2016-02-24,-0.0018754708186413463
2016-02-25,0.004731669294765477
2016-02-26,-0.022803871241511883
2016-02-29,-0.00027911046445201933
2016-03-01,-0.014507807371735446
2016-03-02,-0.009890153975237206
2016-03-03,-0.01102733862184361
2016-03-04,-0.00578600961665901
2016-03-07,-0.01369392094189432
2016-03-08,0.02795960151423542
2016-03-09,0.0011849550772180533
2016-03-10,0.005833295675938612
2016-03-11,-0.018650659823776432
2016-03-14,0.004648457781054955
2016-03-15,0.014585684678597458
2016-03-16,-0.004045743762706928
2016-03-17,-0.0036237313704507628
2016-03-18,-0.011032671101337687
2016-03-21,-0.0025617664781964647
2016-03-22,-0.0020062812601585015
2016-03-23,0.018416404435828856
2016-03-24,0.0012491338317586896
2016-03-28,0.0038254681915528303
2016-03-29,0.003459283697448445
2016-03-30,-0.002375197706991074
2016-03-31,-0.0033569968279362466
2016-04-01,0.005962930108728129
2016-04-04,0.003628958572729811
2016-04-05,0.0033367083342137997
2016-04-06,-0.006559584210341442
2016-04-07,0.01108060880602114
2016-04-08,5.8788800059767724e-05
2016-04-11,-0.0026278988216074917
2016-04-12,-0.005992674084733276
2016-04-13,-0.019846838723013037
2016-04-14,-0.0026781453004973005
2016-04-15,0.005843638485505176
2016-04-18,-0.001863256593168953
2016-04-19,-0.010958502886655664
2016-04-20,-0.014862189465998064
2016-04-21,-0.011555931224443152
2016-04-22,-0.002508298102523809
2016-04-25,0.007663172610974707
2016-04-26,-0.007019321763780241
2016-04-27,-0.0011840056124865703
2016-04-28,0.0068265374594718
2016-04-29,0.00858560311983633
2016-05-02,0.005116470918366031
2016-05-03,0.011534293644652513
2016-05-04,0.014597331985712485
2016-05-05,0.006761589174126234
2016-05-06,0.004706756710597808
2016-05-09,0.0046731612791500055
2016-05-10,-0.002453274899258555
2016-05-11,0.006050498004984906
2016-05-12,0.01300748134144085
2016-05-13,0.005754062140513115
2016-05-16,-0.0032805236268210088
2016-05-17,-0.010274653550709098
2016-05-18,-0.0100510944315246
2016-05-19,0.005626126943745975
2016-05-20,-0.006577563887095118
2016-05-23,-0.0018779808894719206
2016-05-24,9.574700737965958e-06
2016-05-25,-0.010186404779281759
2016-05-26,0.008090317302326934
2016-05-27,-0.0006981812821870905
2016-05-31,-0.002832273385009648
2016-06-01,-1.8582602414559703e-05
2016-06-02,-0.003935189149186007
2016-06-03,0.010914975120495198
2016-06-06,-0.007989323585757747
2016-06-07,0.0016303201198103903
2016-06-08,0.005340614179420214
2016-06-09,0.012856040216736496
2016-06-10,0.010199520347065581
2016-06-13,0.0038779838501600515
2016-06-14,0.01265298737532632
2016-06-15,-0.0025173368424934017
2016-06-16,0.004129967624605699
2016-06-17,-0.0038102226672470977
2016-06-20,-0.003796960865668218
2016-06-21,0.00444758179577443
2016-06-22,0.00023482340420948
2016-06-23,-0.01200126995431718
2016-06-24,0.02841621131590784
2016-06-27,0.02573960011031016
2016-06-28,-0.007692275808659738
2016-06-29,-0.010228046814240159
2016-06-30,0.0043218000529894225
2016-07-01,0.0013563271424235262
2016-07-05,0.0189703691993061
2016-07-06,-0.0012701166642392911
2016-07-07,-0.007829012304991233
2016-07-08,-0.008466106605112317
2016-07-11,-0.004892161940346609
2016-07-12,-0.013334455948219744
2016-07-13,0.00120373168034299
2016-07-14,-0.009828679609737958
2016-07-15,0.00034537486146088284
2016-07-18,-0.003853460756376804
2016-07-19,0.004810910933697545
2016-07-20,-0.007164400986801573
2016-07-21,-0.0024291232432509633
2016-07-22,0.002546900357525715
2016-07-25,0.0008423072245478216
2016-07-26,-0.0033307684809139046
2016-07-27,-0.0001610121064420057
2016-07-28,0.004191282964923179
2016-07-29,0.005165682026557124
2016-08-01,0.004067517387243074
2016-08-02,0.0016782353688131607
2016-08-03,-0.008664105496272912
2016-08-04,0.00835201533102967
2016-08-05,-0.009360357411399508
2016-08-08,-0.0011696244847354354
2016-08-09,0.006022662906270685
2016-08-10,0.003777807379386949
2016-08-11,-0.0045700973842003785
2016-08-12,0.0006815469680302551
2016-08-15,-0.002629405615175767
2016-08-16,-0.005560656335526094
2016-08-17,0.0035392641305674382
2016-08-18,0.0030853469664816214
2016-08-19,0.001351145611898869
2016-08-22,-0.0003828810560322257
2016-08-23,-0.0024740998435957727
2016-08-24,-0.002827202767902685
2016-08-25,0.0011685051693689024
2016-08-26,-0.0019657805256301205
2016-08-29,0.0019204080525749203
