Date,WML
2016-01-04,-0.00828860539518562
2016-01-05,0.009493330118684003
2016-01-06,0.021929385386240223
2016-01-07,0.011739260712461591
2016-01-08,-0.0005244346415880265
2016-01-11,0.013164204709865197
2016-01-12,0.00944178904342062
2016-01-13,0.002581054781460132
2016-01-14,-0.010561857919038735
2016-01-15,0.006467579835551289
2016-01-19,0.016892629229889218
2016-01-20,0.0022595258210429056
2016-01-21,-0.016830998052695747
2016-01-22,-0.0009133189630020702
2016-01-25,0.017316082602234655
2016-01-26,-0.014472613622232452
2016-01-27,-0.003350935352390819
2016-01-28,-0.003262649145035603
2016-01-29,-0.007478058857166639
2016-02-01,0.0071795218118767086
2016-02-02,0.024631718116444927
2016-02-03,-0.011212681652258515
2016-02-04,-0.01982311602096788
2016-02-05,0.008456594101790248
2016-02-08,0.021340813805201385
2016-02-09,0.011037473911240301
2016-02-10,0.0016780818302731693
2016-02-11,0.010555986579312613
2016-02-12,-0.018413162330854528
2016-02-16,-0.018803876828154834
2016-02-17,-0.013771987421410475
2016-02-18,0.003268599186857711
2016-02-19,0.007040876115076924
2016-02-22,-0.016950115203745907
2016-02-23,0.017186393170108945
2016-02-24,-0.0015723643182763997
2016-02-25,0.004260583042379135
2016-02-26,-0.022580397652197392
2016-02-29,-8.652870429161092e-05
2016-03-01,-0.014813341091851437
2016-03-02,-0.009084545630057773
2016-03-03,-0.011247124632608064
2016-03-04,-0.004921806790377563
2016-03-07,-0.012920932396236037
2016-03-08,0.027687842623337827
2016-03-09,0.0012244051338610173
2016-03-10,0.0061123387395642
2016-03-11,-0.0186948420063546
2016-03-14,0.004525026238197794
2016-03-15,0.015114996397120547
2016-03-16,-0.003968271148775656
2016-03-17,-0.003750348934868469
2016-03-18,-0.011387570603497106
2016-03-21,-0.002418672142092909
2016-03-22,-0.002253033008078432
2016-03-23,0.018353837279772738
2016-03-24,0.0018621458102851566
2016-03-28,0.003701966144655427
2016-03-29,0.002755910187903948
2016-03-30,-0.0020225554642159752
2016-03-31,-0.0030546102934117044
2016-04-01,0.006242824313224013
2016-04-04,0.004118650530388347
2016-04-05,0.0031853458431489734
2016-04-06,-0.006634532654664392
2016-04-07,0.011228646235916656
2016-04-08,-0.0004112184327408506
2016-04-11,-0.0026141229517331454
2016-04-12,-0.006096336365052758
2016-04-13,-0.020013158312282765
2016-04-14,-0.0025242970076720574
2016-04-15,0.006079780808072967
2016-04-18,-0.0018205456027563871
2016-04-19,-0.011090545309071208
2016-04-20,-0.015121941673627426
2016-04-21,-0.011394375063416607
2016-04-22,-0.0026307753843749053
2016-04-25,0.007837102710229216
2016-04-26,-0.0070271691042021935
2016-04-27,-0.0014230080962655128
2016-04-28,0.007025048038115068
2016-04-29,0.008826647665874102
2016-05-02,0.004865232572270303
2016-05-03,0.011796429598746331
2016-05-04,0.014594785729175476
2016-05-05,0.0066741395203940915
2016-05-06,0.004747061635954723
2016-05-09,0.004509158321314639
2016-05-10,-0.0027574227337770086
2016-05-11,0.0061998345389048335
2016-05-12,0.012805399661310356
2016-05-13,0.005859297203553668
2016-05-16,-0.003560660424379622
2016-05-17,-0.009834379612604072
2016-05-18,-0.009506607706197882
2016-05-19,0.005600433893721404
2016-05-20,-0.006610565684141077
2016-05-23,-0.0018115957815090847
2016-05-24,-0.00027549808943656134
2016-05-25,-0.009530590804245431
2016-05-26,0.008030677178740626
2016-05-27,-8.325184529404256e-05
2016-05-31,-0.0026067999474785625
2016-06-01,0.00031064094015215236
2016-06-02,-0.003913177763734831
2016-06-03,0.011095045552221752
2016-06-06,-0.00786382003741992
2016-06-07,0.0015469647971968928
2016-06-08,0.0053381949825172725
2016-06-09,0.012391605013071662
2016-06-10,0.010162617077277954
2016-06-13,0.0037261105537450163
2016-06-14,0.01125553632665851
2016-06-15,-0.0026046969195548443
2016-06-16,0.0044981286559280615
2016-06-17,-0.003979130828472462
2016-06-20,-0.003679515345370134
2016-06-21,0.004421235072762043
2016-06-22,-4.230693013442498e-05
2016-06-23,-0.011854221702674951
2016-06-24,0.028886009208832043
2016-06-27,0.025830977021658028
2016-06-28,-0.008265127024968393
2016-06-29,-0.010137108263587963
2016-06-30,0.004050307489574559
2016-07-01,0.001034109557699489
2016-07-05,0.019183517491519034
2016-07-06,-0.001021355054598291
2016-07-07,-0.007869210818766818
2016-07-08,-0.008717909252509565
2016-07-11,-0.005000419205985769
2016-07-12,-0.013571731089225152
2016-07-13,0.0011198571352809372
2016-07-14,-0.009961601092521664
2016-07-15,0.00027861951050390295
2016-07-18,-0.003862973125960669
2016-07-19,0.004550659966651647
2016-07-20,-0.0066395822832262304
2016-07-21,-0.0020062070422844328
2016-07-22,0.0028919650678634456
2016-07-25,0.0008462568001215369
2016-07-26,-0.0037472086070170947
2016-07-27,0.00026354578441248116
2016-07-28,0.0045197301080236235
2016-07-29,0.00484848633500823
2016-08-01,0.003928544184344339
2016-08-02,0.0021896769969663695
2016-08-03,-0.008951301615868358
2016-08-04,0.0081138945344685
2016-08-05,-0.009402233139002406
2016-08-08,-0.0013070862678668273
2016-08-09,0.005780874762784942
2016-08-10,0.003729151046197656
2016-08-11,-0.00439100999761079
2016-08-12,0.0007626685445623804
2016-08-15,-0.002689420761812232
2016-08-16,-0.00518319843903704
2016-08-17,0.0037658231659914495
2016-08-18,0.003168387409577922
2016-08-19,0.0009976252248907723
2016-08-22,-0.00035019672469837194
2016-08-23,-0.002376433523947002
2016-08-24,-0.002607550528144425
2016-08-25,0.001128778060909148
2016-08-26,-0.0016983555597552768
2016-08-29,0.0016520388138771824
