Date,AMD
2016-01-08,-0.008747103487214506
2016-01-11,-0.007750300495555817
2016-01-12,0.0009021410846312252
2016-01-13,-0.024298103693403246
2016-01-14,0.01445081015121641
2016-01-15,-0.017442731122602396
2016-01-19,-0.016626641073972583
2016-01-20,0.0027362449580560742
2016-01-21,0.008935498922293717
2016-01-22,0.009528258915039209
2016-01-25,-0.019677801951288463
2016-01-26,0.009273709368713415
2016-01-27,-0.008416417130520371
2016-01-28,-0.00012514557243953253
2016-01-29,0.011241571423547429
2016-02-01,-0.009248853448215544
2016-02-02,-0.029310539884297354
2016-02-03,0.004046869264084303
2016-02-04,0.0140227340557404
2016-02-05,-0.029794739688238113
2016-02-08,-0.03190058003380211
2016-02-09,-0.004997349642978469
2016-02-10,0.006056758305029918
2016-02-11,-0.007621156857182778
2016-02-12,0.02069518268576473
2016-02-16,0.020130434414371633
2016-02-17,0.02189538750337003
2016-02-18,-0.013999829193052687
2016-02-19,0.0006592578430326807
2016-02-22,0.01855888262558293
2016-02-23,-0.021260481045212467
2016-02-24,0.006079068991021484
2016-02-25,-0.003908515787164448
2016-02-26,0.018813704998537906
2016-02-29,-0.0012895343569933803
2016-03-01,0.02189666363211401
2016-03-02,0.009569426702680787
2016-03-03,0.007212789524291942
2016-03-04,0.003752529559460124
2016-03-07,0.007194954670686542
2016-03-08,-0.02982474109611379
2016-03-09,0.001507710501799855
2016-03-10,-0.0021634354301383486
2016-03-11,0.021242123201026537
2016-03-14,-0.002006126036884486
2016-03-15,-0.011495710056568497
2016-03-16,0.009950282955823278
2016-03-17,0.0042342901949575275
2016-03-18,0.011689791107682852
2016-03-21,0.001547987072170694
2016-03-22,0.003142837916625433
2016-03-23,-0.01924411230301524
2016-03-24,0.0016184191744992064
2016-03-28,-0.00480545855323501
2016-03-29,-0.00013167919264982578
2016-03-30,0.0023642135312550833
2016-03-31,0.003254103685862449
2016-04-01,-0.0014734809456073677
2016-04-04,-0.006671742471996483
2016-04-05,-0.0033246298497799365
2016-04-06,0.011502363453044393
2016-04-07,-0.009508519580665481
2016-04-08,0.0027812161766135094
2016-04-11,0.0025205993361680184
2016-04-12,0.004642201519150984
2016-04-13,0.025455999586610524
2016-04-14,0.0029205035810282052
2016-04-15,-0.008173881648513988
2016-04-18,0.00413604612907455
2016-04-19,0.005131441197101979
2016-04-20,0.019308489589394573
2016-04-21,0.01329205534315625
2016-04-22,0.0049091016893438675
2016-04-25,-0.014200175412417207
2016-04-26,0.009873586484330791
2016-04-27,0.0018315731468668602
2016-04-28,-0.01190982386458845
2016-04-29,-0.010866113515419218
2016-05-02,-0.0017351976838945946
2016-05-03,-0.018202229532865027
2016-05-04,-0.016221010790541522
2016-05-05,0.0002727679157087506
2016-05-06,0.00044367892159306735
2016-05-09,-0.01231685860023504
2016-05-10,0.010087647167962033
2016-05-11,2.8293264578669285e-05
2016-05-12,-0.01194226269908912
2016-05-13,-0.0016773923437566332
2016-05-16,0.007180858160150103
2016-05-17,0.011161910073250401
2016-05-18,0.015267759983679512
2016-05-19,-0.007005279889587394
2016-05-20,0.011687877259530764
2016-05-23,0.005023562078865415
2016-05-24,0.007666689615565646
2016-05-25,0.011887846041461602
2016-05-26,-0.007808225907138706
2016-05-27,0.004690089430433847
2016-05-31,-0.0005769827021827097
2016-06-01,0.00043934887454333575
2016-06-02,0.004494377002073283
2016-06-03,-0.014080511853584382
2016-06-06,0.014239160116025003
2016-06-07,0.0026640240265729375
2016-06-08,-0.004049784399638944
2016-06-09,-0.014079213329706639
2016-06-10,-0.017665246695743965
2016-06-13,-0.003911141173347326
2016-06-14,-0.009303248593167938
2016-06-15,0.004847713090329122
2016-06-16,-0.0074419686958405815
2016-06-17,0.006357591132759186
2016-06-20,0.008184836135740513
2016-06-21,-0.001402533268353311
2016-06-22,-0.0029217317516540744
2016-06-23,0.01795383078033643
2016-06-24,-0.05292490887590693
2016-06-27,-0.04627458782059909
2016-06-28,0.018398509440844545
2016-06-29,0.013898183188803464
2016-06-30,-0.0028446848650346863
2016-07-01,0.0017981616951516352
2016-07-05,-0.028491315223550466
2016-07-06,0.006274919347050963
2016-07-07,0.012807901096687545
2016-07-08,0.014247278769710214
2016-07-11,0.008668055700978394
2016-07-12,0.025095494182486834
2016-07-13,-0.0066695641061699125
2016-07-14,0.011278305912648735
2016-07-15,0.0028341552920107273
2016-07-18,0.005817440476300976
2016-07-19,-0.007397470500956919
2016-07-20,0.009091536599558797
2016-07-21,-0.00618795641520951
2016-07-22,-0.0012840269334492465
2016-07-25,0.00198605960654396
2016-07-26,0.014825605735187987
2016-07-27,0.004069160430838714
2016-07-28,-0.005044087586099559
2016-07-29,-0.005359629078335631
2016-08-01,-0.007226031725080093
2016-08-02,-0.005932716345058189
2016-08-03,0.017292477993312523
2016-08-04,-0.0024961555109105364
2016-08-05,0.018998361395437098
2016-08-08,0.004676073542794248
2016-08-09,-0.0012799029306091074
2016-08-10,-0.007422125068308914
2016-08-11,0.007405754379264129
2016-08-12,-0.003822576052315619
2016-08-15,0.016083998548539615
2016-08-16,0.004493351436434226
2016-08-17,-0.005672768076761104
2016-08-18,0.00360529079064093
2016-08-19,0.0058717724333610674
2016-08-22,-0.0031814563933037455
2016-08-23,0.010630721441777827
2016-08-24,-0.007316447210108924
2016-08-25,0.0060359188176668434
2016-08-26,0.008283850132104994
2016-08-29,-0.0006919364551489539
2016-08-30,0.010066873562899138
2016-08-31,-0.005222745148857281
2016-09-01,0.0001242538349299926
2016-09-02,-0.0010554678267964872
2016-09-06,-0.003921488969989254
